"Sample_ID","KYN_ratio_LH","TRP_ratio_LH","KYNTRP_ratio","L_formyl_kynurenine_ratio_LH","X6_Hydroxykynurenic_acid_ratio_LH","Anthranilate_ratio_LH","Picolinic_acid_ratio_LH","Quinolinic_acid_ratio_LH","QAPA_ratio"
"L15-158",0.114352981951264,2.26561958915684,0.0504731608512532,0.0844975323521453,0,0.273838032245258,0.555059406074199,0.00199229272858857,0.0035893324332247
"L15-171",0.0954102391340287,2.33772000415949,0.0408133732715064,0.0903042761190539,0.00538935538823708,0.0446847603428779,0.442500108010756,0,0
"L15-188",0.114653214326601,2.43789156226717,0.0470296612454645,0.0851740029316626,0.0523043695626589,0.0613630467485065,0.412431699027087,0.003135240335727,0.00760184133063228
"L15-189",0.103155470274426,2.20051685422167,0.0468778369393188,0.061999996756001,0.182098380757895,0.33648924695429,3.27537626333486,0.00209272192602709,0.00063892565548984
"L16-010",0.0802422054116162,2.0307600042408,0.0395133867340542,0.0435317752566966,0.635923442537969,1.94523735502205,0.493846092498641,0,0
"L16-026",0.0807328029107733,1.87369210224865,0.0430875504112359,0.0481746800900633,0.372696227336788,0.0782566241991724,1.96555191833664,0,0
"L16-038",0.0805963265941157,2.024016740194,0.0398199901184565,0.0787016811195454,0.0247592928325186,0.673547710876917,0.406242857493797,0,0
"L16-057",0.159767494571837,1.94834602564036,0.0820016015991443,0.114022983636075,0.34862545146428,0.0589686977704814,0.485493279669544,0.00534025822168088,0.0109996542595106
"L16-058",0.0872351933220375,2.10538443122594,0.0414343300103351,0.0799043680537607,0.0202327139752831,0.111752606185922,0.340255042455223,0,0
"L16-065",0.0982432195948365,2.09318220566029,0.046934862779347,0.116157452894592,0.0444573000490357,0.0754274854721759,0.286078026454456,0,0
"L16-076",0.107110714887435,2.85465155304013,0.037521467295497,0.0389645340138066,0,0.229262451198843,1.99608698126281,0,0
"L16-077",0.111712775479281,1.88628821185126,0.0592235983755858,0.0732592493129342,0.0793026234185392,0.0987681372567924,7.99341735069401,0.00165609233378688,0.00020718201754386
"L16-116",0.0816334998532058,1.99363658998483,0.0409470313011394,0.096674336201211,0.157096054700075,0.459408436590072,2.457716188434,0,0
"L16-127",0.141436892168218,2.11215663880287,0.0669632590546798,0.0917075761976804,0.335421299095942,1.42350103898556,0.29031570313339,0.00475654942911653,0.0163840583811998
"L16-128",0.123574567115153,2.74757151377568,0.0449759238278528,0.129419316883045,0.0905723640062876,0.0678501533596644,3.16433384300015,0,0
"L16-234",0.0892855025200119,1.80485728270116,0.0494695638130382,0.0353104865657992,0.0832258161773204,0.028727411598587,0.456167672493932,0,0
"L16-241",0.142310773335288,2.85196286306922,0.0498992378821289,0.0649180379877758,0.0615915834999455,0.0629568060377786,1.72426140298866,0.00249226853349402,0.00144541223805982
"L17-074",0.11260715689109,2.83293175958616,0.039749336181518,0.0500863874608875,0.0459603162164609,0.119005987709183,1.98506658256033,0.00134689353312482,0.000678513025687835
"L17-095",0.08485374457275,1.36542199543789,0.0621447031439812,0.0326813831996971,0.121059752138732,3.30968412577618,4.82524346799899,0.00366650031065377,0.000759858095238095
"L17-132",0.0931957945277418,2.57101615571802,0.0362486226780301,0.0644908206243905,0.0672736772160717,0.0795088257043952,2.38936521375674,0.000881452624133238,0.000368906611286666
"L17-145",0.0941431997406944,2.22006818931701,0.0424055442052242,0.0442691411677956,0.0937834230490144,1.54230118029082,3.47522936498533,0,0
"L17-153",0.0974047332376646,1.87517987232965,0.0519442079530496,0.0602982598665955,0,0.0488553247686157,1.98539447405751,0.00155910991766584,0.000785289743694876
"L17-160",0.152808086363128,2.5231560420974,0.060562281449745,0.0679647881980209,0.197010813422077,0.135282048276862,1.81239430186074,0.00310578791928963,0.00171363809525389
"L17-191",0.205192003908686,2.9414414873695,0.0697589956454267,0.0743539404715325,0,0.0708394430408297,0.246501516848481,0.0118687075260243,0.0481486186282565
"L17-192",0.136309053690543,3.29755408572415,0.0413364118213118,0.0969138591787696,0,1.31369529753565,2.21997586639493,0.0072203021335961,0.00325242370554295
"L17-194",0.127061003927917,3.52477324305781,0.0360479937761014,0.0761435528609447,0.0396347664406033,0.0689664629115624,0.402531160150406,0.0021068165623309,0.00523392167091782
"L17-201",0.114294097861776,2.3113229520197,0.0494496443095081,0.0663951309361736,0,0.348274012973492,0.408153567710419,0,0
"L17-211",0.219628844760699,2.92924512786189,0.0749779670781632,0.0690351340433263,0.26560613446535,0.563935360401532,4.14354788841421,0.00831534654470857,0.00200681801408864
"L17-226",0.0671399530457706,2.09158330625259,0.0321000616351555,0.0357956988972819,0.119116929192262,0.918433690411257,2.65010022518402,0,0
"L17-236",0.114954931037534,2.15834547167145,0.0532606723744331,0.055292853440538,0.188940932057328,0.0577999997190652,2.38021713449331,0.00110893878290624,0.000465898159808982
"L17-245",0.0999324838506678,2.17116719229221,0.0460270789856419,0.0659773314774309,0.299835124318491,0.290844502216633,0.442959926331724,0.00160396946474861,0.00362102612313383
"L17-291",0.141424158902915,1.84561138100878,0.0766272685345139,0.0279742084999422,0.0542503632844997,0.147119895127255,4.95800279542128,0.00426799650493905,0.000860829789946981
"L17-293",0.138392094885919,2.88209554431734,0.0480178719816517,0.0596334064720053,0.218805885872984,0.180878339189542,2.15817286299541,0.00834020836849616,0.00386447652618542
"L17-300",0.235409768193767,3.16247090326374,0.0744385562412035,0.0865975993387407,0.0317245517070787,1.029920696252,0.423562244948381,0.0119443672059134,0.0281997919983852
"L18-007",0.0761973148854288,2.13873870617495,0.0356272202235048,0.0590199874688648,0.0488117349837956,0.029133723048636,0.286970867125636,0,0
"L18-022",0.111134122406714,2.92353803989468,0.0380135715322239,0.0955906920338414,0.187638673672556,0.0446079316725064,7.16272886385227,0.00140439007356925,0.000196069137931035
"L18-029",0.087093389954838,1.94141350457988,0.0448608139118125,0.0688905723940907,0.0494851887534422,0.0769975834153607,3.3181678540603,0,0
"L18-030",0.0851699307285794,1.9743495497696,0.0431382227825455,0.0235947041929392,0.0702287859174403,1.27127811106626,0.675053937057194,0,0
"L18-042",0.101059635576337,1.89617270109257,0.0532966409220564,0.0397396919680918,0.0371387912541606,0.610142682007296,0.462147176416293,0,0
"L18-051",0.0606431334864842,1.57923907774186,0.0384002234628068,0.0572920660183614,0.195083690768741,0.0411516276866046,0.548281924362163,0,0
"L18-059",0.235987924299136,2.28620291251185,0.103222650538861,0.0628524463805014,0.0630255820335994,0.0486589140044262,1.17277595137019,0.00628693219972789,0.00536072741974513
"L18-061",0.1080067034088,2.01119914882314,0.0537026397768719,0.0773420721321188,0.0746540792607616,0.141934528288815,0.764754188436023,0.00349545620686442,0.00457069246526506
"L18-062",0.113967770690314,2.10909466135253,0.0540363468642172,0.0463260597079956,0,0.0810162377879816,2.38385756126926,0,0
"L18-087",0.138074323610292,3.05404495825508,0.0452103114058874,0.0787752420583946,0.0988009802102732,1.4685711568313,0.352467903632226,0,0
"L18-100",0.120968549326278,2.77622787939478,0.0435729898918273,0.0722036343535923,0.0294459649225416,0.116101146293311,0.35688168769055,0.00155455916934303,0.00435595106995511
"L18-113",0.0845969545719984,2.53542541711693,0.0333659803206497,0.0600018180015205,0.0793332892605692,0.0700934342599632,1.1315748300444,0.00109527044149891,0.000967916935246727
"L18-133",0.0849372582611746,2.07388954676009,0.0409555361296202,0.0365856468280764,0.114227282813846,0.06836408581266,0.439530612098812,0,0
"L18-152",0.101179007039197,2.73094283838989,0.0370491119831895,0.0682007214537022,0,0.222217749125244,0.427706239117678,0.00112884039162088,0.00263928904555982
"L18-171",0.104426632714697,2.12216944439847,0.0492074904717598,0.0688446199367359,0.138559024962104,0.32854794034227,0.372764463321785,0,0
"L18-275",0.114921731970746,2.92784794557291,0.0392512637633779,0.0751397297428198,0.0250260037777885,0.0847390904247591,0.351236063350608,0,0
"L15-181",0.0440497447773726,1.6822175366045,0.0261855222757252,0.0785228530871468,0,0.043701256820001,0.541757559162699,0,0
"L15-195",0.067917777681665,2.2382738193113,0.0303438199096493,0.118990422820565,0.0452581784339157,0.047384323732531,0.272338423202006,0.00178124594524036,0.00654056054337631
"L16-009",0.0740620879141759,2.51544792641024,0.0294429024495326,0.0726821031403711,0,0.060392866236229,0.293282106433891,0.00209107798168043,0.00712992008652182
"L16-033",0.0464560510462994,1.60014761702072,0.029032353360495,0.0516435925797909,0,0.287508428309174,0.417724055198365,0.0012217298633337,0.00292472949098786
"L16-048",0.120534919494567,2.23735383048636,0.0538738745084251,0.109967633857974,0.0871289193016207,0.179237679998897,7.06761481075224,0,0
"L16-056",0.0709789133932777,2.40381430987716,0.0295276191266641,0.0803718897228741,0.125565943196511,0.321564482697939,0.354355942258673,0.0015856746797388,0.00447480764575774
"L16-086",0.054572993995898,1.8277774163551,0.0298575710081405,0.0587425246019223,0.174586869836851,0.206866507149782,2.52311857804237,0,0
"L16-087",0.0421706486758312,1.57913633917369,0.0267048814150511,0.042254098708347,0,0.296990316625092,0.3467475520963,0.00121203873349963,0.00349545000728087
"L16-107",0.12433987348228,1.70324389893141,0.0730018017738323,0.0444798225264452,0.0609555330275527,0.701081515089868,6.55325545786456,0,0
"L16-145",0.0660212771149013,1.83026149848814,0.0360720460816321,0.0504066042904708,0.0491443680639201,0.133529756240392,0.424870456264571,0,0
"L16-146",0.0667244043392065,2.28264265994097,0.0292312088572514,0.136280013912522,0,0.647639064181236,0.476392269421714,0,0
"L16-153",0.0492977295792464,1.89803856194263,0.0259729863068697,0.0887602330360179,0.208182326999337,0.0809141887073064,6.61490970052781,0,0
"L16-202",0.0783067600118393,2.8291646633118,0.0276784031086314,0.104110768473859,0.0242101302475986,0.136486141368313,0.340434861507598,0.00952609117543966,0.0279821259587043
"L16-208",0.0759339057489208,1.42062692971513,0.0534509829150905,0.0239972162922141,0.0479533666249737,0.17092617845197,0.21895993404368,0,0
"L17-032",0.0859583861823587,2.56769241196415,0.0334769015875251,0.0201940430286675,0,0.0894037722980563,0.281632074646027,0,0
"L17-090",0.0762083589848827,1.91135081838408,0.0398714659035288,0.0172172002188932,0,0.155057744487767,0.342807875595686,0,0
"L17-125",0.0921227729948328,1.89737339298496,0.0485527905764002,0.020572313471225,0.0707772941540115,0.0338182448515012,0.834540647489884,0,0
"L17-131",0.145938365266641,3.56834690921808,0.0408980317719782,0.057028827472144,0,0.142917275384405,0.261586935892398,0.00292217062495688,0.0111709348748169
"L17-170",0.127171597503768,2.04315896819279,0.0622426348040132,0.0161057660117269,0.064828016246187,0.0224765915619852,0.267114908021931,0,0
"L17-207",0.0882266869233509,2.14143900321708,0.041199719810281,0.0184753758613612,0,0.138061550910253,0.418661843908722,0,0
"L17-210",0.0878920355025376,1.94685933256343,0.0451455500828661,0.0179264613046869,0.0334107400644873,0.0581144599518655,1.48474279667699,0,0
"L17-235",0.0889104362055421,1.53138464640418,0.0580588530871792,0.0158182292567688,0.0337987742797263,0.0398173784560235,0.441927574168555,0,0
"L17-246",0.0902892603259307,2.41108264124984,0.0374476008334278,0.00883949747749162,0.0716871374141025,0.308377914915344,0.35442764217595,0,0
"L17-274",0.092972627543868,1.92273048893129,0.0483544771766453,0.0172696183647041,0.245467336560903,0.68618071203456,2.03886586830727,0.0028359734330298,0.00139095635329082
"L17-276",0.103936037784099,2.20147610350228,0.0472119763729205,0.0236630781947468,0.0379490546111408,0.0842794406247797,0.331198443992285,0.00214508758368522,0.00647674414718925
"L17-292",0.122887609484937,2.89516017501994,0.0424458758949635,0.0314301769592883,0.0788525967376321,0.103633682944857,0.365642171427418,0,0
"L18-020",0.0998330068611356,2.42487044648588,0.0411704497474549,0.0298439281390633,0.00510779112287157,0.0576823473948196,0.38097085110639,0,0
"L18-021",0.0877953917812828,2.09335833158771,0.0419399729403682,0.0157639612640832,0.0956672783014138,0.119386255184282,0.336747604905814,0.00358169648564274,0.0106361453903867
"L18-028",0.145928378229091,2.49042923214535,0.0585956735270824,0.0207751220839139,0.0529083114467256,0.520530885359315,0.25139776132966,0,0
"L18-044",0.107959496997668,2.09238461961139,0.0515963919758305,0.0120083052428552,0.00510036325435995,0.538565300595572,0.389018639024569,0,0
"L18-098",0.113659342625499,2.25381120217419,0.0504298419121595,0.0291366741158352,0.0747547446057846,0.101344884806854,0.136718261221406,0.00195185112421635,0.0142764478335155
"L18-130",0.0783041859580412,1.80033301307734,0.0434942787746776,0.0116654289254107,0.0993684827924058,0.864724066586293,5.33207140976636,0,0
"L18-162",0.119129286264226,2.283676221994,0.0521655763268436,0.0195293190438468,0.0815853398204608,0.241510634659997,0.349673771952988,0,0
"L18-170",0.0722559757815292,2.03105010354632,0.0355756737144822,0.0242241752928258,0,0.0316146415339659,1.47184538084742,0,0
"L18-197",0.0724874721559094,2.04452919416651,0.0354543590586685,0.0193513953512642,0.0494931465041623,0.0566795468103382,0.252299971397179,0,0
"L18-205",0.0978391462253419,1.85215530145731,0.0528244829946821,0.0221134377659619,0,0.748773941840183,0.272678410421916,0,0
"L18-238",0.0870935302383297,1.44275457220998,0.060366143983118,0.0174779615426318,0.130372252517077,0.0602942403755272,4.42466730116104,0.00102897609474921,0.000232554455445545
"L18-302",0.128334919236159,2.74054018045302,0.0468283297400679,0.0225509423974211,0.0968486804531556,0.0819313781434511,1.67961198000029,0.0027485363667418,0.00163641150424596
"L18-303",0.0974008162121306,2.08707630263976,0.046668545893093,0.016344284686053,0.0615649200867425,0.0633767440853988,2.02370168327651,0,0
"L18-314",0.167093969734546,1.75682472805149,0.0951113489391011,0.0209504333885106,0.116533078561316,0.0432292508761677,0.423590442316419,0,0
"L18-342",0.0442070106176713,1.63520345015663,0.0270345629551092,0.00843629462953002,0,0.0940219542634853,0.24491374484536,0,0
"L19-006",0.0798633057482197,1.41969349439944,0.0562539069618008,0.0163277067930536,0.0808445165283781,0.109491496657294,3.65614693021069,0,0
"L19-007",0.0852363199597375,1.2663942857272,0.0673063049323475,0.0211021268902108,0.132280390867356,0.0620658938415765,0.992507353609771,0,0
"L19-014",0.0615447450421784,1.6275313888382,0.0378147822304747,0.0162102481047136,0.0717271783429676,0.0500761120011591,0.304545704320295,0,0
"L19-015",0.0949036483366866,2.5472729990148,0.037256960040558,0.0250830960900985,0.0516597420951145,0.0429380675088463,0.287613280104153,0,0
"L19-016",0.0569289409137611,1.62621583689752,0.0350070019133313,0.0188424537210255,0.0655702484247035,0.0236921220327709,3.52550275862479,0,0
"L19-032",0.0900285141822025,2.0350404135724,0.0442391775523331,0.0111589418384159,0.0792760958460856,0.026418782622457,3.81333016823085,0,0
"L19-065",0.121269173717775,2.61658859706008,0.0463462899188772,0.029115214054787,0,0.144476978673641,0.486934212100589,0.000943260718820637,0.00193714201093305
"L19-080",0.0763577179583366,1.8633939586129,0.040977764044688,0.0167091289427826,0,1.71499657209594,0.329064884402944,0,0
"L19-114",0.0780122253224523,1.78226498332274,0.0437713954167529,0.0116531904511204,0.194598605762706,0.15725752196121,0.312384178496253,0,0
